,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
0,Macallan - Distil Your World - The London Edition,https://www.highlandwhiskyauctions.com/lot-130809/macallan-distil-your-world-the-london-edition/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,57.5%,None,,,,,,,,," £7,500.00",130809
1,Macallan - 30 Years Old - Sherry Oak 2022 Release,https://www.highlandwhiskyauctions.com/lot-130257/macallan-30-years-old-sherry-oak-2022-release/auction-13,Macallan,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,08/02/2023,,,,,,," £4,050.00",,130257
2,Springbank - 21 Year Old - First Bottle Of The 21st Century 2000 (1 of 59),https://www.highlandwhiskyauctions.com/lot-130223/springbank-21-year-old-first-bottle-of-the-21st-century-2000-1-of-59/auction-13,Springbank,21YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,59,Operational,46%,Box wear/marks.,,,,,,,,," £4,000.00",130223
3,Macallan - Royal Marriage - Prince William & Kate Middleton 2011,https://www.highlandwhiskyauctions.com/lot-130571/macallan-royal-marriage-prince-william-kate-middleton-2011/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,1000,Operational,46.8%,Box & label condition.,,,,,,,,," £3,650.00",130571
4,Macallan - 18 Year Old - Gran Reserva 1980,https://www.highlandwhiskyauctions.com/lot-130549/macallan-18-year-old-gran-reserva-1980/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,08/02/2023,,,,,,," £3,600.00",,130549
5,Macallan - Folio 4,https://www.highlandwhiskyauctions.com/lot-130740/macallan-folio-4/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,08/02/2023,,,,,,," £3,250.00",,130740
6,Macallan - 43 Years Old 1965 - Cream Sherry Butt - Carn Mor #2111,https://www.highlandwhiskyauctions.com/lot-130402/macallan-43-years-old-1965-cream-sherry-butt-carn-mor-2111/auction-13,Macallan,43YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,384,Operational,48.4%,Condition of labels.,,2111,,,32,,,," £3,100.00",130402
7,Macallan - Exceptional Single Cask 2002 - 2018/ESH-2340/04,https://www.highlandwhiskyauctions.com/lot-130390/macallan-exceptional-single-cask-2002-2018esh-234004/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,283,Operational,57.8%,Box condition.,,2340-04,,,,,,," £3,000.00",130390
8,Macallan - Robert Burns - 250th Anniversary,https://www.highlandwhiskyauctions.com/lot-130560/macallan-robert-burns-250th-anniversary/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46%,These decanters were not sealed when bottled by Macallan.,,,,,,,,," £2,900.00",130560
9,Macallan - 18 Years Old - 1976,https://www.highlandwhiskyauctions.com/lot-130684/macallan-18-years-old-1976/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition & minor label lifting.,08/02/2023,,,,,,," £2,600.00",,130684
10,Macallan - 30 Years Old - Double Cask 2022,https://www.highlandwhiskyauctions.com/lot-130316/macallan-30-years-old-double-cask-2022/auction-13,Macallan,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,,,,,,,,," £2,300.00",130316
11,Macallan - 10 Years Old - Cask Strength Early 2000's  (1 Litre) ,https://www.highlandwhiskyauctions.com/lot-130548/macallan-10-years-old-cask-strength-early-2000s-1-litre/auction-13,Macallan,10YearsOld,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,58.5%,Overall condition.,08/02/2023,,,,,,," £1,950.00",,130548
12,Yamazaki - Mizunara Cask - 2022 Edition,https://www.highlandwhiskyauctions.com/lot-130834/yamazaki-mizunara-cask-2022-edition/auction-13,Yamazaki,,Japan,Japanese,70cl,SingleMaltWhisky,,Operational,48%,Box condition.,08/02/2023,,,,,,," £1,750.00",,130834
13,Glendronach -  The Incorporation of Maltmen - Millennium Malt 1972,https://www.highlandwhiskyauctions.com/lot-130520/glendronach-the-incorporation-of-maltmen-millennium-malt-1972/auction-13,Glendronach,,Scotland,Highland,70cl,SingleMaltWhisky,456,Operational,48%,Labels slightly risen/bubbling.,08/02/2023,721,,,442,,," £1,700.00",,130520
14,Clynelish - 17 Years Old - Manager's Dram,https://www.highlandwhiskyauctions.com/lot-130545/clynelish-17-years-old-managers-dram/auction-13,Clynelish,17YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,61.8%,Label condition.,08/02/2023,,,,319,,," £1,500.00",,130545
15,Glenfiddich - 34 Years Old - 1978 Rare Collection,https://www.highlandwhiskyauctions.com/lot-130767/glenfiddich-34-years-old-1978-rare-collection/auction-13,Glenfiddich,34YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,180,Operational,47.2%,None,08/02/2023,,,,158,,," £1,475.00",,130767
16,"Macallan - Speymalt 2000, 2001, 2002 & 2003 - 4x 70cl",https://www.highlandwhiskyauctions.com/lot-130672/macallan-speymalt-2000-2001-2002-2003-4x-70cl/auction-13,Macallan,,Scotland,Speyside,280cl,SingleMaltWhisky,,Operational,58.3%,None,08/02/2023,,,,,,," £1,350.00",,130672
17,Bowmore - 30 Years Old 1989 - 2020 Release,https://www.highlandwhiskyauctions.com/lot-130561/bowmore-30-years-old-1989-2020-release/auction-13,Bowmore,30YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,2580,Operational,45.3%,None,,,,,,,,," £1,325.00",130561
18,Macallan - Folio 5,https://www.highlandwhiskyauctions.com/lot-130347/macallan-folio-5/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition.,,,,,,,,," £1,300.00",130347
19,Macallan - 12 Years Old - Ghillie's Dram With Flies & Print,https://www.highlandwhiskyauctions.com/lot-130558/macallan-12-years-old-ghillies-dram-with-flies-print/auction-13,Macallan,12YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,800,Operational,40%,Box and tube condition.,08/02/2023,,,,727,,," £1,225.00",,130558
20,Macallan - 12 Years Old - 1 Litre (1980s),https://www.highlandwhiskyauctions.com/lot-130403/macallan-12-years-old-1-litre-1980s/auction-13,Macallan,12YearsOld,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,43%,General condition.,08/02/2023,,,,,,," £1,200.00",,130403
21,Springbank - 12 Years Old - 100% Proof - Christmas 2002 (Private Bottling),https://www.highlandwhiskyauctions.com/lot-130231/springbank-12-years-old-100-proof-christmas-2002-private-bottling/auction-13,Springbank,12YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,57%,Minor label marks/lifting.Box creases/marks.,,,,,,,,," £1,200.00",130231
22,Glenturret - Jaguar E-Type 60th Anniversary,https://www.highlandwhiskyauctions.com/lot-130398/glenturret-jaguar-e-type-60th-anniversary/auction-13,Glenturret,,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,43.2%,Small scratch on back of box.,,,,,,,,," £1,100.00",130398
23,Ardbeg - 25 Years Old - Lord Of The Isles,https://www.highlandwhiskyauctions.com/lot-130692/ardbeg-25-years-old-lord-of-the-isles/auction-13,Ardbeg,25YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46%,Box condition & minor label lifting.,08/02/2023,,,,,,," £1,100.00",,130692
24,Balvenie - 30 Years Old,https://www.highlandwhiskyauctions.com/lot-130559/balvenie-30-years-old/auction-13,Balvenie,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,47.3%,Minor box wear and label defect.,08/02/2023,,,,,,," £1,075.00",,130559
25,Macallan - 10 Years Old - Cask Strength - 1 Litre,https://www.highlandwhiskyauctions.com/lot-130252/macallan-10-years-old-cask-strength-1-litre/auction-13,Macallan,10YearsOld,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,58.6%,Box wear/creases.Minor label lifting.,,,,,,,,," £1,000.00",130252
26,Aberlour - 30 Years Old - Vintage Edition 1991,https://www.highlandwhiskyauctions.com/lot-130258/aberlour-30-years-old-vintage-edition-1991/auction-13,Aberlour,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,150,Operational,43.8%,None,08/02/2023,,,,,,," £1,000.00",,130258
27,"Macallan - Concept 1,2 & 3",https://www.highlandwhiskyauctions.com/lot-130578/macallan-concept-12-3/auction-13,Macallan,,Scotland,Speyside,210cl,SingleMaltWhisky,,Operational,40.8%,Box condition.,08/02/2023,,,,,,, £940.00,,130578
28,Macallan - Oscuro,https://www.highlandwhiskyauctions.com/lot-130768/macallan-oscuro/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46.5%,Minor pitting on stopper.,08/02/2023,,,,,,, £860.00,,130768
29,Yamazaki - Spanish Oak - 2022 Edition,https://www.highlandwhiskyauctions.com/lot-130835/yamazaki-spanish-oak-2022-edition/auction-13,Yamazaki,,Japan,Japanese,70cl,SingleMaltWhisky,,Operational,48%,Minor box defects & label crease.,,,,,,,,, £840.00,130835
30,Caol Ila - 1978 Single Cask No.11544 - Cadenhead's (Bottle No.1),https://www.highlandwhiskyauctions.com/lot-130685/caol-ila-1978-single-cask-no11544-cadenheads-bottle-no1/auction-13,CaolIla,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,63.9%,Minor scratch marks on glass.,,11544,,,1,,,, £800.00,130685
31,"Bowmore - 10, 15, 18 & 21 Years Old - Aston Martin - x4",https://www.highlandwhiskyauctions.com/lot-130579/bowmore-10-15-18-21-years-old-aston-martin-x4/auction-13,Bowmore,,Scotland,Islay,340cl,SingleMaltWhisky,,Operational,51.8%,Overall condition.,,,,,,,,, £740.00,130579
32,Glenlivet - 39 Years Old - 1951 Gordon & MacPhail - Book of Kells Decanter,https://www.highlandwhiskyauctions.com/lot-130379/glenlivet-39-years-old-1951-gordon-macphail-book-of-kells-decanter/auction-13,Glenlivet,39YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor box marks.Notice from Gordon & MacPhail.,,,,,,,,, £700.00,130379
33,Caol Ila - 20 Years Old - Rare Malts 61.18% - 1975,https://www.highlandwhiskyauctions.com/lot-130553/caol-ila-20-years-old-rare-malts-6118-1975/auction-13,CaolIla,20YearsOld,Scotland,Islay,75cl,SingleMaltWhisky,,Operational,61.18%,Box condition.Minor label lifting.,08/02/2023,,,,12593,,, £680.00,,130553
34,Macallan - 1841 Replica,https://www.highlandwhiskyauctions.com/lot-130280/macallan-1841-replica/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,41.7%,Box wear/marks.,08/02/2023,,,,,,, £650.00,,130280
35,Laphroaig - 15 Years Old - Pre Royal Warrant 75cl,https://www.highlandwhiskyauctions.com/lot-130300/laphroaig-15-years-old-pre-royal-warrant-75cl/auction-13,Laphroaig,15YearsOld,Scotland,Islay,75cl,SingleMaltWhisky,,Operational,43%,Very minor scratches on tin & label lifting.,,,,,,,,, £640.00,130300
36,Royal Brackla - Private Collection 1964 - Gordon & Macphail,https://www.highlandwhiskyauctions.com/lot-130377/royal-brackla-private-collection-1964-gordon-macphail/auction-13,RoyalBrackla,40YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,94,Operational,45.9%,Minor label lifting & rust from lid.,,2031,,,,,75,, £640.00,130377
37,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-130308/glendronach-28-years-old-grandeur-batch-011/auction-13,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,None,08/02/2023,,,,565,,011, £620.00,,130308
38,Glenturret - Manager's Dram - Release No.1,https://www.highlandwhiskyauctions.com/lot-130739/glenturret-managers-dram-release-no1/auction-13,Glenturret,,Scotland,,70cl,SingleMaltWhisky,500,Operational,53%,None,08/02/2023,,,,261,,, £620.00,,130739
39,Tomatin - 36 Years Old - Batch 10,https://www.highlandwhiskyauctions.com/lot-130754/tomatin-36-years-old-batch-10/auction-13,Tomatin,36YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,1200,Operational,46.2%,None,08/02/2023,,,,0473,,10, £620.00,,130754
40,Macallan - 18 Years Old - 1996,https://www.highlandwhiskyauctions.com/lot-130514/macallan-18-years-old-1996/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor label lifting.Box condition.,08/02/2023,,,,,,, £620.00,,130514
41,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-130329/glendronach-28-years-old-grandeur-batch-011/auction-13,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,None,,,,,545,,011,, £600.00,130329
42,Port Ellen - 25 Years Old - Bladnoch Forum,https://www.highlandwhiskyauctions.com/lot-130361/port-ellen-25-years-old-bladnoch-forum/auction-13,PortEllen,25YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,650,Closed,56.2%,None,08/02/2023,2037,,,,,, £600.00,,130361
43,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-130385/macallan-classic-cut-2017-75cl/auction-13,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,Minor box wear.,,,,,,,,, £600.00,130385
44,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-130920/glendronach-28-years-old-grandeur-batch-011/auction-13,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,None,,,,,494,,011,, £600.00,130920
45,Glenlivet - 1963 - Gordon & MacPhail - Private Collection,https://www.highlandwhiskyauctions.com/lot-130261/glenlivet-1963-gordon-macphail-private-collection/auction-13,Glenlivet,,Scotland,Speyside,70cl,SingleMaltWhisky,223,Operational,40.6%,Minor box marks.,,1723&1726,,,103,,,, £600.00,130261
46,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-130312/glendronach-28-years-old-grandeur-batch-011/auction-13,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,Minor box defect.,,,,,490,,011,, £580.00,130312
47,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-130420/glendronach-28-years-old-grandeur-batch-011/auction-13,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,Minor box marks.,,,,,509,,011,, £580.00,130420
48,Balvenie - 20 Years Old - First Cask 1972,https://www.highlandwhiskyauctions.com/lot-130516/balvenie-20-years-old-first-cask-1972/auction-13,Balvenie,20YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,46%,Label condition.,08/02/2023,14730,,,0262,,, £580.00,,130516
49,Linkwood - 30 Years Old - Rare Malts 54.9% - 1974,https://www.highlandwhiskyauctions.com/lot-130554/linkwood-30-years-old-rare-malts-549-1974/auction-13,Linkwood,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,54.9%,Neck seal partially split. ,08/02/2023,,,,5919,,, £560.00,,130554
50,Macallan - Private Eye - 5cl,https://www.highlandwhiskyauctions.com/lot-130919/macallan-private-eye-5cl/auction-13,Macallan,,Scotland,Speyside,5cl,SingleMaltWhisky,,Operational,40%,Small split on seal.,08/02/2023,,,,,,, £560.00,,130919
51,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-130304/macallan-classic-cut-2017-75cl/auction-13,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,None,,,,,,,,, £540.00,130304
52,GlenDronach - 28 Years Old - Grandeur Batch 011,https://www.highlandwhiskyauctions.com/lot-130323/glendronach-28-years-old-grandeur-batch-011/auction-13,Glendronach,28YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,3181,Operational,48.9%,Minor chip on box.,,,,,488,,011,, £540.00,130323
53,Macallan - 1861 Replica,https://www.highlandwhiskyauctions.com/lot-130375/macallan-1861-replica/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,42.7%,Box condition.,08/02/2023,,,,,,, £540.00,,130375
54,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-130233/macallan-concept-1-2018/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,,,,,,,,, £540.00,130233
55,Macallan - 10 Years Old - 1990's ,https://www.highlandwhiskyauctions.com/lot-130589/macallan-10-years-old-1990s/auction-13,Macallan,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Overall condition.,08/02/2023,,,,,,, £520.00,,130589
56,Macallan - 10 Years Old - Speaker Martin's,https://www.highlandwhiskyauctions.com/lot-130404/macallan-10-years-old-speaker-martins/auction-13,Macallan,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,08/02/2023,,,,,,, £520.00,,130404
57,Glenlivet - 27 Years Old - Cellar Collection 1994,https://www.highlandwhiskyauctions.com/lot-130229/glenlivet-27-years-old-cellar-collection-1994/auction-13,Glenlivet,27YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,192,Operational,47.3%,None,,,,,97,,,, £520.00,130229
58,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-130274/macallan-classic-cut-2017-75cl/auction-13,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,Minor box wear.Label lifting.,,,,,,,,, £520.00,130274
59,Dailuaine - 22 Years Old - Rare Malts 60.92% 1973 - 75cl,https://www.highlandwhiskyauctions.com/lot-130552/dailuaine-22-years-old-rare-malts-6092-1973-75cl/auction-13,Dailuaine,22YearsOld,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,60.92%,Label condition.,08/02/2023,,,,313,,, £500.00,,130552
60,GlenAllachie - 16 Years Old - Billy Walker 50th Anniversary - Present Edition,https://www.highlandwhiskyauctions.com/lot-130319/glenallachie-16-years-old-billy-walker-50th-anniversary-present-edition/auction-13,Glenallachie,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48%,None,,,,,,,,, £500.00,130319
61,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-130320/macallan-concept-1-2018/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,,,,,,,,, £500.00,130320
62,Oban - 20 Years Old - 1961 Connoisseurs Choice 75cl,https://www.highlandwhiskyauctions.com/lot-130321/oban-20-years-old-1961-connoisseurs-choice-75cl/auction-13,Oban,20YearsOld,Scotland,Highland,75cl,SingleMaltWhisky,,Operational,40%,Box condition.,08/02/2023,,,,,,, £500.00,,130321
63,Balvenie - 25 Years Old - Rare Marriages,https://www.highlandwhiskyauctions.com/lot-130890/balvenie-25-years-old-rare-marriages/auction-13,Balvenie,25YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48%,None,08/02/2023,,,,,,, £500.00,,130890
64,Glen Grant - 1948 & 1961 Royal Marriage - Gordon & MacPhail,https://www.highlandwhiskyauctions.com/lot-130406/glen-grant-1948-1961-royal-marriage-gordon-macphail/auction-13,GlenGrant,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,40%,Label & cap condition.,,,,,,,,, £500.00,130406
65,Macallan - 18 Years Old - 2016 Release,https://www.highlandwhiskyauctions.com/lot-130680/macallan-18-years-old-2016-release/auction-13,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box condition & label lifting.,,,,,,,,, £500.00,130680
66,St Magdalene - 26 Years Old 1982 - The Old Malt Cask,https://www.highlandwhiskyauctions.com/lot-130381/st-magdalene-26-years-old-1982-the-old-malt-cask/auction-13,SaintMagdaleneLinlithgow,26YearsOld,Scotland,Lowland,70cl,SingleMaltWhisky,511,Closed,50%,Minor box wear.,,4712,,,,,,, £480.00,130381
67,Clynelish - 24 Years Old 1983 - The Old Malt Cask,https://www.highlandwhiskyauctions.com/lot-130384/clynelish-24-years-old-1983-the-old-malt-cask/auction-13,Clynelish,24YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,404,Operational,50%,Box condition.,08/02/2023,3555,,,,,, £480.00,,130384
68,Linkwood - 26 Years Old - Rare Malts 56.1% - 1975,https://www.highlandwhiskyauctions.com/lot-130405/linkwood-26-years-old-rare-malts-561-1975/auction-13,Linkwood,26YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,56.1%,Box condition.,,,,,1196,,,, £480.00,130405
69,Glenmorangie - 21 Years Old - Vintage 1977,https://www.highlandwhiskyauctions.com/lot-130409/glenmorangie-21-years-old-vintage-1977/auction-13,Glenmorangie,21YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,43%,None,08/02/2023,,,,,,, £480.00,,130409
70,Yamazaki - 18 Years Old,https://www.highlandwhiskyauctions.com/lot-130256/yamazaki-18-years-old/auction-13,Yamazaki,18YearsOld,Japan,Japanese,70cl,SingleMaltWhisky,,Operational,43%,Box tear.Minor label lifting.,,,,,,,,, £480.00,130256
71,Glendullan - 23 Years Old - Rare Malts 62.43% - 1972,https://www.highlandwhiskyauctions.com/lot-130551/glendullan-23-years-old-rare-malts-6243-1972/auction-13,Glendullan,23YearsOld,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,62.43%,Label condition.,08/02/2023,,,,0495,,, £460.00,,130551
72,Aberlour - 21 Years Old - Signatory Vintage 1974,https://www.highlandwhiskyauctions.com/lot-130278/aberlour-21-years-old-signatory-vintage-1974/auction-13,Aberlour,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,158,Operational,55.5%,Label condition.,,11028,,,89,,,, £460.00,130278
73,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-130301/macallan-concept-1-2018/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,,,,,,,,, £440.00,130301
74,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-130337/macallan-concept-1-2018/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,,,,,,,,, £440.00,130337
75,Macallan - Classic Cut - 2017 (75cl),https://www.highlandwhiskyauctions.com/lot-130386/macallan-classic-cut-2017-75cl/auction-13,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,Minor box wear.,,,,,,,,, £440.00,130386
76,Balvenie - 25 Years Old - Triple Cask,https://www.highlandwhiskyauctions.com/lot-130763/balvenie-25-years-old-triple-cask/auction-13,Balvenie,25YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.Minor label lifting.,08/02/2023,,,,,,, £440.00,,130763
77,Aultmore - 16 Years Old - Centenary Bottling,https://www.highlandwhiskyauctions.com/lot-130502/aultmore-16-years-old-centenary-bottling/auction-13,Aultmore,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,63%,Overall condition.,08/02/2023,,,,210,,, £440.00,,130502
78,Clynelish - Cardhu - Caol Ila - Glenkinchie - Four Corners Of Scotland Collection 4x 70cl,https://www.highlandwhiskyauctions.com/lot-130324/clynelish-cardhu-caol-ila-glenkinchie-four-corners-of-scotland-collection-4x-70cl/auction-13,,,Scotland,,280cl,SingleMaltWhisky,,,58.2%,Clynelish box has small indents where magnets are.Minor scratch mark on Caol Ila box.,,,,,,,,, £420.00,130324
79,Dailuaine - 22 Years Old - Rare Malts 60.92% 1973 - 75cl,https://www.highlandwhiskyauctions.com/lot-130334/dailuaine-22-years-old-rare-malts-6092-1973-75cl/auction-13,Dailuaine,22YearsOld,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,60.92%,Very minor labels marks.,,,,,11220,,,, £420.00,130334
80,Hibiki - 17 Years Old,https://www.highlandwhiskyauctions.com/lot-130749/hibiki-17-years-old/auction-13,HibikiSuntory,17YearsOld,Japan,Japanese,70cl,BlendedWhisky,,Operational,43%,Very minor box scratches.,,,,,,,,, £420.00,130749
81,Macallan - 12 Years Old - Duty Free 1990's - 1 Litre,https://www.highlandwhiskyauctions.com/lot-130590/macallan-12-years-old-duty-free-1990s-1-litre/auction-13,Macallan,10YearsOld,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,43%,Overall condition.,,,,,,,,, £400.00,130590
82,Glendronach - 27 Years Old - 1992 - Cask #182,https://www.highlandwhiskyauctions.com/lot-130392/glendronach-27-years-old-1992-cask-182/auction-13,Glendronach,27YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,613,Operational,49.5%,Minor tube mark.,,182,,,158,,,, £400.00,130392
83,Jameson - Rarest Vintage Reserve - 2007 Edition ,https://www.highlandwhiskyauctions.com/lot-130245/jameson-rarest-vintage-reserve-2007-edition/auction-13,Jameson,,Ireland,Ireland,70cl,IrishWhisky,,Operational,46%,Box damage.,,,,,10461,,,, £400.00,130245
84,GlenAllachie - 16 Year Old - Billy Walker 50th Anniversary - Past Edition,https://www.highlandwhiskyauctions.com/lot-130246/glenallachie-16-year-old-billy-walker-50th-anniversary-past-edition/auction-13,Glenallachie,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,57.1%,None,,,,,,,,, £400.00,130246
85,GlenAllachie - 16 Year Old - Billy Walker 50th Anniversary - Past Edition,https://www.highlandwhiskyauctions.com/lot-130247/glenallachie-16-year-old-billy-walker-50th-anniversary-past-edition/auction-13,Glenallachie,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,57.1%,None,,,,,,,,, £400.00,130247
86,Macallan - Edition 2,https://www.highlandwhiskyauctions.com/lot-130818/macallan-edition-2/auction-13,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.2%,Box condition.,08/02/2023,,,,,,, £380.00,,130818
87,Highland Park - 16 Years Old - Thor,https://www.highlandwhiskyauctions.com/lot-130567/highland-park-16-years-old-thor/auction-13,HighlandPark,16YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,23000,Operational,52.1%,Outer box conditon.,,,,,,,,, £380.00,130567
88,Lagavulin - Feis Ile 2013,https://www.highlandwhiskyauctions.com/lot-130366/lagavulin-feis-ile-2013/auction-13,Lagavulin,,Scotland,Islay,70cl,SingleMaltWhisky,3500,Operational,51%,None,08/02/2023,,,,1346,,, £380.00,,130366
89,Macallan - 12 Years Old - 75cl (1980's),https://www.highlandwhiskyauctions.com/lot-130827/macallan-12-years-old-75cl-1980s/auction-13,Macallan,12YearsOld,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,43%,Signs of previous leakage.Box condition.,08/02/2023,,,,,,, £360.00,,130827
90,Highland Park - 25 Years Old,https://www.highlandwhiskyauctions.com/lot-130562/highland-park-25-years-old/auction-13,HighlandPark,25YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,,Operational,45.7%,Minor label creasing/lifting.,,,,,,,,, £360.00,130562
91,Ardbeg - Rollercoaster - Committee Release,https://www.highlandwhiskyauctions.com/lot-130357/ardbeg-rollercoaster-committee-release/auction-13,Ardbeg,,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,57.3%,None,,,,,,,,, £360.00,130357
92,Laphroaig - 10 Years Old - Cask Strength Batch 001,https://www.highlandwhiskyauctions.com/lot-130362/laphroaig-10-years-old-cask-strength-batch-001/auction-13,Laphroaig,10YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,57.8%,None,,,,,,,001,, £360.00,130362
