,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
1025,Dornoch - 4 Years Old - 2018 Single Cask #83 - Thompson Bros,https://www.highlandwhiskyauctions.com/lot-120755/dornoch-4-years-old-2018-single-cask-83-thompson-bros/auction-12,Dornoch,4YearsOld,Scotland,Highland,50cl,SingleMaltWhisky,86,Operational,55.32%,The bottle number has been blanked out at the seller's request and will be revealed to the winning bidder only.Box condition.,,83,,,,,,, £280.00,120755
1026,Macallan - Edition 3,https://www.highlandwhiskyauctions.com/lot-120272/macallan-edition-3/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.3%,None,,,,,,,,, £280.00,120272
1027,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120550/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,06/01/2023,,,,,,, £280.00,,120550
1028,Garnheath - 45 Years Old - XOP (Bottle No.2),https://www.highlandwhiskyauctions.com/lot-120825/garnheath-45-years-old-xop-bottle-no2/auction-12,Garnheath,45YearsOld,Scotland,Lowland,70cl,SingleMaltWhisky,122,Closed,46.3%,None,06/01/2023,DL13462,,,,,, £280.00,,120825
1029,Macallan - Edition 3 - 75cl,https://www.highlandwhiskyauctions.com/lot-120338/macallan-edition-3-75cl/auction-12,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,48.3%,None,,,,,,,,, £280.00,120338
1030,Macallan - Rare Cask - Black,https://www.highlandwhiskyauctions.com/lot-120365/macallan-rare-cask-black/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,,48%,Box condition.,06/01/2023,,,,,,, £280.00,,120365
1031,Bruichladdich - 18 Years Old - Valinch - The Temple Of Drams 1991 50cl,https://www.highlandwhiskyauctions.com/lot-120387/bruichladdich-18-years-old-valinch-the-temple-of-drams-1991-50cl/auction-12,Bruichladdich,18YearsOld,Scotland,Islay,50cl,SingleMaltWhisky,424,Operational,53.3%,None,,038,,,100,,,, £280.00,120387
1032,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120694/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor box damage.,06/01/2023,,,,,,, £260.00,,120694
1033,Macallan - Edition 3,https://www.highlandwhiskyauctions.com/lot-120707/macallan-edition-3/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.3%,Box condition.,06/01/2023,,,,,,, £260.00,,120707
1034,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120744/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Label damage.,06/01/2023,,,,,,, £260.00,,120744
